,x
647,LPIN1
648,DGAT1
649,PNPLA3
650,PNPLA2
651,DGKH
652,DGKI
653,LCLAT1
654,DGKB
655,DGKA
656,PNLIPRP2
657,DGKD
658,DGKE
659,PLPP1
660,DGKK
661,LIPC
662,PLPP2
663,PLPP5
664,PLPP4
665,LIPG
666,LIPF
667,GPAT3
668,GPAM
669,GPAT2
670,LPL
671,MOGAT2
672,MOGAT1
673,GK
674,DGKG
675,AGPAT5
676,AGPAT4
677,AGPAT3
678,AGPAT2
679,AGPAT1
680,DGKQ
681,MOGAT3
682,LYPLA1
683,LYPLA2
684,TAZ
685,SELENOI
686,PLA2G6
687,PLA2G5
688,PLA2G3
689,ETNK2
690,PCYT1A
691,PHOSPHO1
692,PCYT2
693,GNPAT
694,PLD4
695,PCYT1B
696,PLD1
697,PLD2
698,PLD3
699,ETNPPL
700,PLA2G1B
701,PGS1
702,CHKA
703,CHKB
704,PLA2G12B
705,PLA2G12A
706,PNPLA7
707,PNPLA6
708,ADPRM
709,PLA2G15
710,PLA2G16
711,PLA2G10
712,PISD
713,CRLS1
714,GPD1L
715,PTDSS1
716,PTDSS2
717,MBOAT7
718,CHAT
719,CHPT1
720,GPCPD1
721,PLA2G2A
722,PLA2G2C
723,PLA2G2E
724,PLA2G2D
725,PLA2G2F
726,ACHE
727,CDS1
728,CDS2
729,JMJD7-PLA2G4B
730,LCAT
731,GPD1
732,GPD2
733,LPGAT1
734,LPCAT4
735,LPCAT2
736,LPCAT3
737,ETNK1
738,LPCAT1
739,PLB1
740,PLA2G4C
741,PLA2G4B
742,PLA2G4A
743,PLA2G4F
744,PLA2G4E
745,PLA2G4D
746,PEMT
747,CEPT1
748,AGPS
749,UGT8
750,GAL3ST1
751,TMEM86B
752,PLA2G7
753,ENPP6
754,ENPP2
755,PAFAH2
756,PAFAH1B1
757,PAFAH1B3
758,PAFAH1B2
759,GDPD3
760,GDPD1
761,SPHK2
762,SPHK1
763,SMPD3
764,GBA
765,UGCG
766,SMPD4
767,SMPD1
768,SGMS2
769,SGMS1
770,SMPD2
771,ACER2
772,ACER3
773,SGPL1
774,CERS5
775,CERS2
776,ASAH1
777,ASAH2
778,CERS1
779,SPTLC2
780,SPTLC3
781,SPTLC1
782,GBA2
783,SGPP2
784,SGPP1
785,B4GALT6
786,CERS6
787,ENPP7
788,KDSR
789,ACER1
790,GALC
791,CERS3
792,DEGS1
793,DEGS2
794,CERS4
795,ARSA
796,CERK
797,NEU4
798,NEU1
799,NEU2
800,NEU3
801,CYP2J2
802,PTGS2
803,EPHX2
804,FAM213B
805,CBR1
806,PTGS1
807,CYP4F8
808,ALOX15
809,ALOX12
810,LTA4H
811,PTGDS
812,CYP4F2
813,CYP4F3
814,CYP2U1
815,CYP2B6
816,CBR3
817,LTC4S
818,GGT5
819,CYP2C19
820,ALOX12B
821,TBXAS1
822,ALOX5
823,PTGIS
824,ALOX15B
825,PTGES
826,HPGDS
827,CYP2C9
828,CYP2C8
829,PTGES3
830,PTGES2
831,GPX1
832,GPX3
833,GPX2
834,GPX5
835,GPX7
836,GPX6
837,GPX8
838,GGT1
839,FADS2
840,SCD
841,SCD5
842,FADS1
843,FHIT
844,NME1-NME2
845,POLR3F
846,POLR3G
847,POLR3D
848,POLR3E
849,POLR3B
850,POLR3C
851,POLR3A
852,HDDC3
